abs_metric;acf_id_lag=1;cross_correl;kurtosis;model_id;phi;predictive_score;r2_trtr;r2_tstr;seed;sig_w1_metric;sigma;skew
0,01087;0,06104;0,05849;0,13568;RCWGAN;0,80000;0,05100;0,64442;0,59342;seed=0;0,20139;0,50000;0,06791
0,01032;0,03753;0,15522;0,07591;RCGAN;0,80000;0,04604;0,64442;0,59838;seed=0;0,23733;0,50000;0,05475
0,00904;0,00696;0,00666;0,12025;SigCWGAN;0,80000;0,00065;0,64442;0,64377;seed=0;0,11907;0,50000;0,00290
0,01649;0,03558;0,04421;0,08411;TimeGAN;0,80000;0,00986;0,64442;0,63456;seed=0;0,14070;0,50000;0,02400
0,01065;0,06793;0,01025;0,14429;GMMN;0,80000;0,05010;0,64442;0,59432;seed=0;0,17479;0,50000;0,05741
