abs_metric;acf_id_lag=1;cross_correl;kurtosis;model_id;phi;predictive_score;r2_trtr;r2_tstr;seed;sig_w1_metric;sigma;skew
0,01361;0,05656;0,16201;0,04379;RCWGAN;0,50000;0,11022;0,25324;0,14302;seed=0;0,48798;0,80000;0,19632
0,01573;0,05441;0,34530;0,04534;RCGAN;0,50000;0,05395;0,25324;0,19929;seed=0;0,48259;0,80000;0,08978
0,01309;0,00578;0,03626;0,31439;SigCWGAN;0,50000;0,00282;0,25324;0,25043;seed=0;0,42282;0,80000;0,09660
0,02127;0,03961;0,36648;0,07001;TimeGAN;0,50000;0,04869;0,25324;0,20456;seed=0;0,47820;0,80000;0,13757
0,00916;0,05836;0,12245;0,05114;GMMN;0,50000;0,08490;0,25324;0,16834;seed=0;0,46721;0,80000;0,08986
