abs_metric;acf_id_lag=1;asset;cross_correl;kurtosis;model_id;predictive_score;r2_trtr;r2_tstr;seed;sig_w1_metric;skew
0,02330;0,22744;SPX;0,00988;10,20704;RCWGAN;0,13367;0,38910;0,25543;seed=0;0,29522;0,68099
0,01939;0,09111;SPX;0,13320;8,61939;RCGAN;0,13425;0,38910;0,25485;seed=0;0,28490;0,61973
0,01897;0,07142;SPX;0,10498;4,51267;SigCWGAN;0,08694;0,38910;0,30216;seed=0;0,27310;0,68025
0,01821;0,07146;SPX;0,10862;8,76840;TimeGAN;0,06593;0,38910;0,32317;seed=0;0,27356;0,65399
0,01881;0,08055;SPX;0,00541;9,88622;GMMN;0,09331;0,38910;0,29579;seed=0;0,27416;0,76561
