abs_metric;acf_id_lag=1;cross_correl;kurtosis;model_id;phi;predictive_score;r2_trtr;r2_tstr;seed;sig_w1_metric;sigma;skew
0,01507;0,09424;0,19269;0,06750;RCWGAN;0,50000;0,12722;0,25634;0,12912;seed=0;0,29712;0,80000;0,18766
0,01148;0,00609;0,02831;0,06852;RCGAN;0,50000;0,04358;0,25634;0,21276;seed=0;0,21680;0,80000;0,12558
0,01200;0,00413;0,00910;0,25926;SigCWGAN;0,50000;0,00110;0,25634;0,25524;seed=0;0,15895;0,80000;0,05399
0,02704;0,05904;0,02491;0,24509;TimeGAN;0,50000;0,02383;0,25634;0,23251;seed=0;0,20430;0,80000;0,04245
0,01101;0,05051;0,00060;0,09109;GMMN;0,50000;0,02679;0,25634;0,22955;seed=0;0,18164;0,80000;0,16203
