abs_metric;acf_id_lag=1;cross_correl;kurtosis;model_id;phi;predictive_score;r2_trtr;r2_tstr;seed;sig_w1_metric;sigma;skew
0,02377;0,14330;0,22002;0,34630;RCWGAN;0,80000;0,14276;0,64594;0,50318;seed=0;0,41032;0,20000;0,41224
0,01560;0,14400;0,14977;0,23176;RCGAN;0,80000;0,13936;0,64594;0,50658;seed=0;0,44515;0,20000;0,27100
0,00909;0,00477;0,05865;0,05931;SigCWGAN;0,80000;0,00145;0,64594;0,64449;seed=0;0,27524;0,20000;0,04604
0,01881;0,12266;0,27190;0,30442;TimeGAN;0,80000;0,08576;0,64594;0,56018;seed=0;0,39014;0,20000;0,35777
0,01756;0,11831;0,30184;0,09983;GMMN;0,80000;0,15603;0,64594;0,48991;seed=0;0,40220;0,20000;0,23382
