abs_metric;acf_id_lag=1;cross_correl;kurtosis;model_id;phi;predictive_score;r2_trtr;r2_tstr;seed;sig_w1_metric;sigma;skew
0,01570;0,02593;0,05138;0,17399;RCWGAN;0,80000;0,05239;0,64666;0,59427;seed=0;0,22511;0,80000;0,17791
0,00908;0,02905;0,01514;0,15041;RCGAN;0,80000;0,03013;0,64666;0,61653;seed=0;0,17014;0,80000;0,07986
0,00777;0,00543;0,00862;0,10183;SigCWGAN;0,80000;0,00069;0,64666;0,64597;seed=0;0,12044;0,80000;0,01122
0,01743;0,01223;0,01511;0,12095;TimeGAN;0,80000;0,01685;0,64666;0,62980;seed=0;0,14221;0,80000;0,09942
0,01007;0,05370;0,00142;0,10491;GMMN;0,80000;0,03110;0,64666;0,61555;seed=0;0,15522;0,80000;0,09472
