abs_metric;acf_id_lag=1;kurtosis;model_id;phi;predictive_score;r2_trtr;r2_tstr;seed;sig_w1_metric;sigma;skew
0,01019;0,00153;0,05984;RCWGAN;0,80000;0,01364;0,64338;0,62973;seed=0;0,06764;0,80000;0,16094
0,00539;0,00461;0,08998;RCGAN;0,80000;0,00051;0,64338;0,64287;seed=0;0,04433;0,80000;0,08247
0,00636;0,00320;0,04289;SigCWGAN;0,80000;0,00016;0,64338;0,64322;seed=0;0,03993;0,80000;0,04723
0,01931;0,00989;0,10685;TimeGAN;0,80000;0,00681;0,64338;0,63656;seed=0;0,06562;0,80000;0,07409
0,00733;0,01182;0,07444;GMMN;0,80000;0,01165;0,64338;0,63173;seed=0;0,03785;0,80000;0,04407
