abs_metric;acf_id_lag=1;kurtosis;model_id;phi;predictive_score;r2_trtr;r2_tstr;seed;sig_w1_metric;sigma;skew
0,01068;0,06978;0,00704;RCWGAN;0,20000;0,00813;0,04567;0,03753;seed=0;0,06238;0,80000;0,12517
0,01884;0,04612;0,02726;RCGAN;0,20000;0,00228;0,04567;0,04338;seed=0;0,05618;0,80000;0,39346
0,01218;0,01215;0,40064;SigCWGAN;0,20000;0,00057;0,04567;0,04509;seed=0;0,05332;0,80000;0,03906
0,03048;0,05002;0,76349;TimeGAN;0,20000;0,00246;0,04567;0,04320;seed=0;0,06536;0,80000;0,10540
0,00964;0,02193;0,18290;GMMN;0,20000;0,00052;0,04567;0,04515;seed=0;0,05478;0,80000;0,10176
