abs_metric;acf_id_lag=1;cross_correl;kurtosis;model_id;phi;predictive_score;r2_trtr;r2_tstr;seed;sig_w1_metric;sigma;skew
0,01291;0,14622;0,09824;0,07752;RCWGAN;0,20000;0,06571;0,04197;-0,02374;seed=0;0,41075;0,80000;0,13038
0,01138;0,08583;0,45564;0,08184;RCGAN;0,20000;0,03280;0,04197;0,00917;seed=0;0,42844;0,80000;0,05982
0,02395;0,01386;0,02308;0,67091;SigCWGAN;0,20000;0,00283;0,04197;0,03914;seed=0;0,37654;0,80000;0,09828
0,02216;0,05547;0,65335;0,14569;TimeGAN;0,20000;0,05068;0,04197;-0,00872;seed=0;0,47123;0,80000;0,10843
0,00979;0,03153;0,08108;0,09098;GMMN;0,20000;0,05342;0,04197;-0,01145;seed=0;0,41136;0,80000;0,15991
