abs_metric;acf_id_lag=1;cross_correl;kurtosis;model_id;phi;predictive_score;r2_trtr;r2_tstr;seed;sig_w1_metric;sigma;skew
0,01139;0,09395;0,05872;0,06148;RCWGAN;0,20000;0,05834;0,04205;-0,01629;seed=0;0,27286;0,80000;0,10167
0,01194;0,03964;0,06606;0,13131;RCGAN;0,20000;0,01248;0,04205;0,02957;seed=0;0,21102;0,80000;0,07027
0,02891;0,00645;0,00675;0,78909;SigCWGAN;0,20000;0,00126;0,04205;0,04080;seed=0;0,18776;0,80000;0,06860
0,02706;0,04837;0,04356;0,28066;TimeGAN;0,20000;0,00834;0,04205;0,03372;seed=0;0,20538;0,80000;0,01391
0,00984;0,03181;0,00663;0,06703;GMMN;0,20000;0,01290;0,04205;0,02915;seed=0;0,21165;0,80000;0,09563
