abs_metric;acf_id_lag=1;cross_correl;kurtosis;model_id;phi;predictive_score;r2_trtr;r2_tstr;seed;sig_w1_metric;sigma;skew
0,01712;0,17299;0,04611;0,14874;RCWGAN;0,80000;0,05910;0,64215;0,58305;seed=0;0,39940;0,20000;0,22252
0,00952;0,03221;0,15268;0,03414;RCGAN;0,80000;0,04295;0,64215;0,59920;seed=0;0,38376;0,20000;0,07714
0,00920;0,00862;0,00393;0,16872;SigCWGAN;0,80000;0,00062;0,64215;0,64153;seed=0;0,32413;0,20000;0,02877
0,01968;0,03009;0,04030;0,07457;TimeGAN;0,80000;0,01824;0,64215;0,62391;seed=0;0,34349;0,20000;0,07637
0,01042;0,08681;0,01105;0,12918;GMMN;0,80000;0,05988;0,64215;0,58228;seed=0;0,35657;0,20000;0,01619
