abs_metric;acf_id_lag=1;cross_correl;kurtosis;model_id;phi;predictive_score;r2_trtr;r2_tstr;seed;sig_w1_metric;sigma;skew
0,02038;0,14585;0,56947;0,33762;RCWGAN;0,80000;0,09476;0,65091;0,55615;seed=0;0,34804;0,80000;0,40816
0,01215;0,02281;0,06286;0,07900;RCGAN;0,80000;0,05882;0,65091;0,59210;seed=0;0,29388;0,80000;0,09347
0,00772;0,00648;0,00490;0,06741;SigCWGAN;0,80000;0,00155;0,65091;0,64936;seed=0;0,22464;0,80000;0,02470
0,01917;0,03744;0,15589;0,03219;TimeGAN;0,80000;0,04602;0,65091;0,60489;seed=0;0,30071;0,80000;0,12119
0,01015;0,09677;0,24049;0,09469;GMMN;0,80000;0,11210;0,65091;0,53882;seed=0;0,30279;0,80000;0,10062
